rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
227	NCT01585415	0.5777581	0.36307763	0.94083573	271	True
228	NCT00860574	0.5409363	0.39418826	0.93512456	248	True
229	NCT01362296	0.4036972	0.53073652	0.93443372	190	True
230	NCT02511665	0.641296	0.29013031	0.93142631	299	True
231	NCT06236360	0.43674868	0.49192432	0.928673	207	True
232	NCT05859373	0.402022	0.52389176	0.92591376	191	True
233	NCT04383938	0.39774138	0.51936501	0.91710639	192	True
234	NCT01337401	0.40088475	0.51543669	0.91632144	195	True
235	NCT04481256	0.46827292	0.44760402	0.91587694	229	True
236	NCT04891653	0.39778417	0.51784769	0.91563186	193	True
237	NCT04629209	0.40123743	0.51407135	0.91530878	198	True
238	NCT04338763	0.39293933	0.51416558	0.90710491	197	True
239	NCT01600807	0.44959253	0.4568832	0.90647573	223	True
240	NCT04887025	0.4084677	0.4934532	0.9019209	204	True
241	NCT02847767	0.4049256	0.49460242	0.89952802	202	True
242	NCT02853188	0.39655447	0.50055148	0.89710595	201	True
243	NCT02827838	0.40358496	0.48950825	0.89309321	209	True
244	NCT04756362	0.89140064	0	0.89140064		True
245	NCT03768310	0.41236556	0.47577918	0.88814474	217	True
246	NCT05305131	0.65651983	0.22885132	0.88537115	324	True
247	NCT02119858	0.3895123	0.49056468	0.88007698	208	True
248	NCT02795429	0.40396878	0.470047	0.87401578	220	True
249	NCT03716596	0.5636327	0.30847836	0.87211106	293	True
250	NCT03639246	0.4005432	0.47097725	0.87152045	219	True
251	NCT03662841	0.4049256	0.46642854	0.87135414	222	True
252	NCT00822094	0.47407416	0.38904172	0.86311588	253	True
253	NCT01644253	0.40609348	0.45514642	0.8612399	225	True
254	NCT02760225	0.45790634	0.39085824	0.84876458	252	True
255	NCT04408638	0.403539	0.44315994	0.84669894	232	True
256	NCT04725188	0.4124833	0.43070365	0.84318695	236	True
257	NCT02629848	0.54177153	0.29847973	0.84025126	297	True
258	NCT02537158	0.40400103	0.43614583	0.84014686	234	True
259	NCT02841800	0.39294064	0.44633909	0.83927973	230	True
260	NCT02142959	0.4329906	0.40089997	0.83389057	245	True
261	NCT05774678	0.40285733	0.42652137	0.8293787	237	True
262	NCT04795128	0.4167462	0.40682674	0.82357294	242	True
263	NCT05243797	0.4299531	0.39331154	0.82326464	250	True
264	NCT06173219	0.39778417	0.42227962	0.82006379	238	True
265	NCT03788499	0.42024368	0.39961111	0.81985479	246	True
266	NCT02513784	0.40833265	0.4080928	0.81642545	241	True
267	NCT06406556	0.40506265	0.40900773	0.81407038	240	True
268	NCT01865305	0.813083	0	0.813083		True
