nct_id	score
NCT04306900	0.4029689
NCT01959867	0.40285733
NCT04202640	0.40285733
NCT03612596	0.40285733
NCT05774678	0.40285733
NCT03900299	0.40285733
NCT04267900	0.40285733
NCT01202851	0.40285733
NCT05378204	0.40285733
NCT00428922	0.40285733
NCT00734955	0.40285733
NCT02023359	0.40285733
NCT02523924	0.40281552
NCT03034070	0.4027394
NCT04173338	0.4026202
NCT03334617	0.40255886
NCT00216125	0.40255886
NCT03945552	0.40253046
NCT02722772	0.40251267
NCT06084481	0.40225327
NCT02873793	0.40222526
NCT03394014	0.40217716
NCT02576626	0.4021545
NCT05002140	0.40211785
NCT05859373	0.402022
NCT05296109	0.40193045
NCT04222335	0.4019074
NCT02638831	0.40184504
NCT01074645	0.40182164
NCT01788189	0.40177572
NCT05416775	0.40169695
NCT02004925	0.40168542
NCT04484636	0.40163788
NCT00873782	0.40163594
NCT04812756	0.40161893
NCT02474095	0.4015671
NCT02339948	0.401565
NCT01874873	0.40136197
NCT02087475	0.4013411
NCT03493932	0.40123743
NCT04629209	0.40123743
NCT02579720	0.40121913
NCT05043090	0.40112406
NCT05443165	0.40110984
NCT03903614	0.4010962
NCT06142344	0.40108967
NCT02808416	0.40097606
NCT04274816	0.4009557
NCT01034670	0.40094543
NCT01337401	0.40088475
NCT03047239	0.40080732
NCT05793710	0.40076494
NCT02176304	0.4007515
NCT03333863	0.40073454
NCT03703271	0.40072593
NCT05035407	0.40070745
NCT00107536	0.40056044
NCT01228942	0.40055093
NCT03060057	0.4005491
NCT05749211	0.4005432
NCT03639246	0.4005432
NCT02266433	0.40042445
NCT01842165	0.40027425
NCT04360252	0.4000949
NCT01827618	0.40008664
NCT02473848	0.40008092
NCT05741294	0.40008092
NCT02990221	0.40008092
NCT00124033	0.40002578
NCT05653596	0.40001976
NCT01603576	0.39987302
NCT03893981	0.39986247
NCT02269826	0.39984244
NCT02790827	0.39972907
NCT03468933	0.39962304
NCT05768347	0.39956617
NCT04543253	0.3995455
NCT02905916	0.39951715
NCT01624051	0.3995052
NCT01447589	0.3995052
NCT02716051	0.3995052
NCT02665390	0.3995052
NCT00843726	0.3995052
NCT06105801	0.3995052
NCT04588064	0.39944467
NCT04268017	0.39940488
NCT04423055	0.39935496
NCT01158248	0.3992266
NCT01963715	0.39921814
NCT04596085	0.39912447
NCT01005979	0.39895394
NCT02473536	0.39882243
NCT00502983	0.3987823
NCT01331525	0.3987611
NCT01080352	0.39868426
NCT03435302	0.3985945
NCT01308294	0.3985945
NCT02821182	0.3985945
NCT03025932	0.39847046
NCT04189614	0.39845806
NCT02382107	0.39837283
NCT04000477	0.39832073
NCT04113863	0.39829808
NCT06223568	0.39824063
NCT01621217	0.3982115
NCT02689505	0.39816284
NCT03969459	0.39805558
NCT04323605	0.39804912
NCT04664478	0.39798242
NCT03444870	0.39787975
NCT01710501	0.3978222
NCT04891653	0.39778417
NCT06173219	0.39778417
NCT04383938	0.39774138
NCT04004507	0.3976068
NCT02937740	0.39751473
NCT04040166	0.3974998
NCT01045889	0.39749083
NCT00830323	0.39745203
NCT05996432	0.39745128
NCT04951947	0.39742398
NCT02563561	0.3973624
NCT03822234	0.3973624
NCT01801644	0.3973624
NCT02800473	0.3973624
NCT05362539	0.3973624
NCT03292289	0.39732277
NCT04635488	0.39732277
NCT04295642	0.39727837
NCT05513703	0.39727098
NCT00219284	0.39722276
NCT05582499	0.39722097
NCT04642287	0.3971686
NCT01812070	0.39712325
NCT01010672	0.39712006
NCT03770299	0.397095
NCT05544084	0.3970881
NCT04522323	0.39706415
NCT01606631	0.39688152
NCT04672928	0.39677492
NCT01724086	0.3967713
NCT00103155	0.3966397
NCT02930915	0.3966397
NCT00002735	0.3966397
NCT01033019	0.39661753
NCT02853188	0.39655447
NCT05001282	0.39627013
NCT02900352	0.39623886
NCT05481658	0.39620912
NCT06114940	0.39614898
NCT05557708	0.39597434
NCT03380793	0.39595735
NCT00042835	0.39590764
NCT02703571	0.39585102
NCT01278888	0.3955771
NCT02682589	0.39527696
NCT00411112	0.39527696
NCT01583205	0.39526084
NCT05624918	0.39521763
NCT02438865	0.39516214
NCT06430372	0.39513528
NCT00154479	0.39503598
