nct_id	score
NCT00001469	0.54718417
NCT00032877	0.5465632
NCT00023036	0.5461857
NCT00006038	0.54545695
NCT00004694	0.5440283
NCT00004685	0.54295176
NCT00005635	0.54220164
NCT00001859	0.54204845
NCT00006331	0.54204845
NCT00021918	0.5416482
NCT00015626	0.5413455
NCT00002878	0.5411731
NCT00001550	0.5407568
NCT00001407	0.54054046
NCT00027287	0.54039377
NCT00006432	0.53862226
NCT00004983	0.53862226
NCT00002746	0.53818655
NCT00001444	0.537972
NCT00006202	0.5373337
NCT00018486	0.53599995
NCT00042809	0.53570074
NCT00001534	0.5348927
NCT00001314	0.53487664
NCT00023049	0.53407365
NCT00001860	0.5333609
NCT00005599	0.53240716
NCT00001987	0.5321317
NCT00024440	0.5315857
NCT00002665	0.5305484
NCT00003232	0.5304603
NCT00003041	0.53029317
NCT00004125	0.53029317
NCT00043940	0.529879
NCT00001814	0.5296756
NCT00005926	0.529292
NCT00005760	0.52913505
NCT00001729	0.5286701
NCT00035828	0.52827156
NCT00001633	0.52792037
NCT00003740	0.5278269
NCT00031239	0.52682495
NCT00004992	0.5266217
NCT00006426	0.52635354
NCT00015431	0.5259324
NCT00016471	0.52523726
NCT00005847	0.5221385
NCT00001379	0.5219577
NCT00001261	0.5204332
NCT00006051	0.51994735
NCT00000173	0.5180246
NCT00005810	0.5169162
NCT00001446	0.51659596
NCT00001893	0.5158204
NCT00001287	0.51561266
NCT00001676	0.5155209
NCT00000153	0.51449823
NCT00033137	0.5136579
NCT00028535	0.51312315
NCT00002971	0.51207685
NCT00001870	0.51124644
NCT00003851	0.51068455
NCT00000539	0.5099857
NCT00028379	0.5093647
NCT00003342	0.5093293
NCT00006081	0.50811666
NCT00005848	0.5076585
NCT00002908	0.50625837
NCT00001383	0.50353575
NCT00005970	0.50317633
NCT00002550	0.500936
NCT00003176	0.49952298
NCT00001783	0.49911693
NCT00006334	0.49748808
NCT00009672	0.49627092
NCT00001335	0.49605754
NCT00043680	0.4959109
NCT00001960	0.49430713
NCT00004067	0.4938432
NCT00014508	0.49373496
NCT00008229	0.49355915
NCT00003145	0.49328977
NCT00001421	0.49299243
NCT00010192	0.49279413
NCT00002974	0.49240294
NCT00004408	0.4911377
NCT00004645	0.48904303
NCT00005013	0.4879554
NCT00025805	0.4874309
NCT00001887	0.4857531
NCT00004635	0.4839869
NCT00004192	0.48348704
NCT00016107	0.48220557
NCT00004497	0.48215207
NCT00001225	0.48210672
NCT00005629	0.48160312
NCT00005267	0.47998217
NCT00038623	0.47966173
NCT00045838	0.47828934
NCT00004074	0.4782028
NCT00004888	0.47782505
NCT00006417	0.47735852
NCT00002996	0.47688624
NCT00007163	0.47522292
NCT00010686	0.47492543
NCT00001878	0.47462538
NCT00001405	0.4744521
NCT00005664	0.47343317
NCT00030589	0.47274104
NCT00005831	0.47182143
NCT00041119	0.47157037
NCT00002849	0.4713682
NCT00001487	0.46764708
NCT00002810	0.4670227
NCT00029107	0.46613652
NCT00006070	0.46596837
NCT00007280	0.4654472
NCT00013546	0.46501926
NCT00003018	0.46349403
NCT00006059	0.463047
NCT00004797	0.46124935
NCT00001955	0.46109512
NCT00005100	0.46050137
NCT00000119	0.46016797
NCT00004451	0.45999306
NCT00039130	0.4596736
NCT00023192	0.45962593
NCT00019643	0.45768866
NCT00024791	0.45752546
NCT00005761	0.456628
NCT00003798	0.45639253
NCT00004250	0.45596758
NCT00006890	0.4559526
NCT00004407	0.4558247
NCT00006398	0.4544283
NCT00001763	0.45427108
NCT00002711	0.4541285
NCT00001953	0.4537609
NCT00001436	0.4537145
NCT00004444	0.45337683
NCT00000361	0.4533531
NCT00000941	0.4533401
NCT00005788	0.4530512
NCT00004911	0.45268005
NCT00009581	0.4526793
NCT00001777	0.45226613
NCT00004727	0.45135948
NCT00003862	0.45118734
NCT00020605	0.45113045
NCT00004670	0.4511304
NCT00011765	0.45108327
NCT00005905	0.45065445
NCT00001728	0.45031735
NCT00001524	0.44905156
NCT00001877	0.4487484
NCT00002809	0.44870615
NCT00001522	0.4484754
NCT00004770	0.4482699
NCT00021671	0.44812292
NCT00006103	0.44805434
NCT00028028	0.44753885
NCT00004769	0.44692907
NCT00001933	0.4468279
NCT00000108	0.44672248
NCT00013650	0.44660452
NCT00005791	0.44637135
NCT00002882	0.44616798
NCT00025883	0.4459448
NCT00008476	0.4458492
NCT00009555	0.4457726
NCT00001840	0.44569784
NCT00003065	0.44569153
NCT00007904	0.4454291
NCT00003199	0.4453558
NCT00004844	0.44520423
NCT00038116	0.44520423
NCT00020943	0.4448662
NCT00004686	0.44391337
NCT00034788	0.44385412
NCT00043719	0.44375923
NCT00002654	0.44310465
NCT00001851	0.4429647
NCT00001982	0.44283757
NCT00001221	0.44282648
NCT00001530	0.44217777
NCT00006032	0.4421379
NCT00001977	0.44213307
NCT00003117	0.44207698
NCT00000524	0.44200286
NCT00004883	0.44126877
NCT00035386	0.4412244
NCT00001894	0.4412244
NCT00000854	0.4410429
NCT00003387	0.4409203
NCT00038077	0.44057232
NCT00033891	0.44056457
NCT00000559	0.4404415
NCT00001420	0.4402596
NCT00006252	0.4401946
NCT00013026	0.4396091
NCT00005373	0.4395585
NCT00005937	0.43945405
NCT00005571	0.43865198
NCT00005837	0.43850717
NCT00023010	0.43848124
NCT00010764	0.4379612
NCT00001910	0.43760848
NCT00043654	0.43729255
NCT00003906	0.4368777
NCT00003953	0.4368777
NCT00004856	0.4368495
NCT00001871	0.43623927
NCT00006343	0.4361376
NCT00001918	0.43570164
NCT00001077	0.43568882
NCT00033553	0.43511513
NCT00042952	0.43503264
NCT00001398	0.43493515
NCT00005607	0.43489277
NCT00033774	0.43454298
NCT00001881	0.43432838
NCT00012818	0.43399322
NCT00013559	0.43394446
NCT00038272	0.43355146
NCT00005985	0.4335264
NCT00003596	0.4334287
NCT00000151	0.43281978
NCT00005927	0.43238297
NCT00011752	0.43230122
NCT00002850	0.43206024
NCT00001400	0.43184248
NCT00042575	0.4313219
NCT00042562	0.4313219
NCT00038233	0.4299531
NCT00005624	0.4299531
NCT00038090	0.4299531
NCT00003511	0.4299531
NCT00005834	0.4299531
NCT00006184	0.4299531
NCT00012350	0.4299531
NCT00000778	0.42988616
NCT00001457	0.429305
NCT00044057	0.42929918
NCT00001455	0.42919028
NCT00000560	0.42918283
NCT00005499	0.42918283
NCT00004689	0.42861187
NCT00040196	0.4285105
NCT00044733	0.4284677
NCT00001911	0.42840204
NCT00001905	0.42816517
NCT00001731	0.42792436
NCT00000619	0.42765653
NCT00005176	0.4274972
NCT00006422	0.42686486
NCT00040846	0.42684993
NCT00001456	0.4252692
NCT00006164	0.425254
NCT00023569	0.42514917
NCT00006414	0.42514917
NCT00001553	0.42514917
NCT00028184	0.42514917
NCT00001876	0.4249608
NCT00027391	0.42484245
NCT00044122	0.42478603
NCT00004163	0.42445257
NCT00004254	0.42444468
NCT00005636	0.42444468
NCT00004033	0.42444468
NCT00032513	0.42428455
NCT00001145	0.42418152
NCT00001884	0.42384082
NCT00005322	0.4237167
NCT00006228	0.42368013
NCT00001318	0.42318034
NCT00000127	0.4229244
NCT00000126	0.4229244
NCT00045942	0.42287368
NCT00001781	0.42264247
NCT00001934	0.42264247
NCT00005372	0.4224006
NCT00025701	0.42232203
NCT00005246	0.42228726
NCT00005141	0.42216274
NCT00005470	0.42216274
NCT00004296	0.42204276
NCT00005200	0.42203575
NCT00005271	0.42203575
NCT00005757	0.42203575
NCT00005805	0.42199063
NCT00033332	0.42193225
NCT00007995	0.42193225
NCT00003353	0.42193225
NCT00003153	0.42193225
NCT00028886	0.42193225
NCT00004165	0.42193225
NCT00004088	0.42193225
NCT00045136	0.42193225
NCT00002630	0.42193225
NCT00006021	0.42193225
NCT00038051	0.42182416
NCT00006336	0.4217779
NCT00005348	0.4216329
NCT00005345	0.42150682
NCT00004682	0.4212982
NCT00040443	0.42112008
NCT00006295	0.42097712
NCT00005190	0.42095384
NCT00001415	0.42092055
NCT00004232	0.42084074
NCT00005485	0.42079705
NCT00044304	0.42070076
NCT00003838	0.42068022
NCT00005543	0.4206781
NCT00001936	0.420586
NCT00006348	0.42049307
NCT00003805	0.42046475
NCT00005351	0.42031458
NCT00005127	0.42020643
NCT00002742	0.42006904
NCT00017927	0.41991967
NCT00000642	0.4197254
NCT00025935	0.41962373
NCT00009243	0.41956118
NCT00000129	0.41949674
NCT00000513	0.4194457
NCT00000522	0.4194457
NCT00037973	0.41932872
NCT00000546	0.41915202
NCT00040105	0.41909218
NCT00003082	0.4190781
NCT00005136	0.41875702
NCT00006413	0.41871455
NCT00001356	0.41871455
NCT00001364	0.41869023
NCT00004431	0.4185621
NCT00003675	0.41853005
NCT00016419	0.41853005
NCT00002890	0.41853005
NCT00001288	0.41843247
NCT00001672	0.4183311
NCT00032461	0.41831312
NCT00001932	0.41825318
NCT00005199	0.41824317
NCT00003331	0.4180805
NCT00000506	0.41807944
NCT00006213	0.41800523
NCT00005230	0.4179086
NCT00005766	0.41788292
NCT00005674	0.41788292
NCT00039676	0.4178387
NCT00039416	0.41749167
NCT00026923	0.41729406
NCT00006156	0.4172593
NCT00037388	0.4171214
NCT00001350	0.41708115
NCT00001885	0.41698635
NCT00000469	0.4169187
NCT00005925	0.4169102
NCT00036595	0.4169102
NCT00013845	0.4169102
NCT00006271	0.4166145
NCT00006175	0.41648674
NCT00032331	0.4164818
NCT00042770	0.41618934
NCT00018070	0.41617507
NCT00000167	0.41617507
NCT00001339	0.4161419
NCT00040495	0.41577536
NCT00013689	0.41575468
NCT00003396	0.41574448
NCT00008307	0.41574448
NCT00001839	0.41566348
NCT00003887	0.4155633
NCT00005254	0.41543823
NCT00001600	0.41541108
NCT00045305	0.4152708
NCT00006040	0.4152708
NCT00005863	0.4152708
NCT00004245	0.4152708
NCT00014495	0.4152708
NCT00030550	0.4152708
NCT00003524	0.41523352
NCT00003031	0.41505542
NCT00008216	0.4150255
NCT00001916	0.41502357
NCT00023296	0.41492295
NCT00012376	0.41473407
NCT00005102	0.41462916
NCT00001276	0.41461647
NCT00001561	0.4145285
NCT00000369	0.41447562
NCT00012558	0.41447562
NCT00027560	0.4144696
NCT00003934	0.41442218
NCT00030212	0.41435903
NCT00001663	0.4142837
NCT00042822	0.41425353
NCT00001621	0.41382974
NCT00004748	0.41375577
NCT00004784	0.41375577
NCT00006168	0.41375577
NCT00011570	0.41371912
NCT00004812	0.41371912
NCT00006429	0.41371912
NCT00001780	0.41364592
NCT00014794	0.41356015
NCT00006292	0.41356015
NCT00006333	0.41356015
NCT00006072	0.41355348
NCT00001770	0.4135076
NCT00032890	0.41347706
NCT00000425	0.41347706
NCT00000403	0.41347706
NCT00001666	0.41338098
NCT00045435	0.41337055
NCT00001149	0.41331482
NCT00001366	0.41331482
NCT00015834	0.4133141
NCT00004429	0.4131135
NCT00001973	0.41296208
NCT00044954	0.41293842
NCT00006042	0.41293842
NCT00034437	0.4129373
NCT00000125	0.4129209
NCT00034021	0.4128653
NCT00003210	0.4126866
NCT00002343	0.41263294
NCT00000860	0.41263294
NCT00002101	0.41263294
NCT00001030	0.41261154
NCT00002032	0.41261154
NCT00002140	0.41261154
NCT00000641	0.41261154
NCT00000644	0.41261154
NCT00025662	0.41253835
NCT00001976	0.4125354
NCT00001615	0.41251498
NCT00008515	0.41251498
NCT00004297	0.41239947
NCT00001658	0.41233355
NCT00014469	0.41232345
NCT00001586	0.41223803
NCT00001478	0.41220808
